4.00	19.62   0.52   	0.31
3.80	19.64   0.15   	0.31
3.60	19.63   0.15   	0.31
3.40	19.55   0.14   	0.31
3.20	19.51   0.14   	0.31
3.00	19.46   0.13   	0.31
2.80	19.28   0.13   	0.31
2.60	19.25   0.09   	0.31
2.40	19.13   0.09   	0.31
2.20	19.07   0.08   	0.31
2.00	18.86   0.08   	0.30
1.80	18.65   0.07   	0.30
1.60	18.45   0.07   	0.30
1.40	18.26   0.07   	0.29
1.20	18.05   0.06   	0.29
1.00	17.80   0.06   	0.29
0.96	17.68   0.04   	0.29
0.88	17.54   0.03   	0.28
0.80	17.42   0.03   	0.28
0.68	17.22   0.03   	0.28
0.60	17.07   0.03   	0.28
0.48	16.72   0.02   	0.27
0.40	16.29   0.02   	0.26
0.32	15.59   0.01   	0.25
0.30	15.24   0.01   	0.25
0.24	13.83   0.01   	0.23
0.20	11.78   0.01   	0.20
0.15	8.32	0.01    0.14
0.12	4.94	0.01    0.09
0.10	3.01	0.01    0.07
0.05	0.44	0.01    0.03
